N,best_energy,merit_factor,energy_evals,best_s
70,447,5.480984340044743,203049,-1 1 -1 -1 -1 1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 1 1 -1 1 1 -1 1 1 -1 -1 1 1 -1 -1 -1 -1 1 1 1 1 1 -1 1 -1 -1 -1 1 -1 1 1 -1 1 -1 -1 1 -1 1 1 -1 -1 -1 -1 1 -1 1 -1 1
75,533,5.276735459662289,202547,1 -1 1 -1 1 -1 1 -1 1 -1 -1 1 1 1 1 1 -1 1 1 1 1 -1 -1 1 1 1 1 -1 -1 1 -1 -1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 1 1 -1 1 1 -1 -1 1 1 1 1 -1 -1 -1 -1 1 -1 1 1 -1 1 -1 1 1 -1 1 -1 -1 -1 -1
80,604,5.298013245033113,200045,-1 1 1 -1 -1 -1 1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 1 1 1 -1 -1 1 -1 -1 -1 1 -1 1 1 1 1 1 1 -1 -1 -1 1 1 -1 -1 -1 -1 1 -1 1 -1 1 1 1 1 -1 1 1 -1 1 1 1 -1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 1
82,649,5.180277349768875,205045,-1 1 1 -1 1 1 1 1 -1 -1 1 1 -1 1 1 1 -1 -1 -1 1 -1 -1 1 1 1 1 1 -1 1 1 1 -1 1 1 -1 1 1 -1 -1 1 -1 1 -1 1 -1 -1 1 -1 -1 -1 -1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 1 -1 -1 -1 -1 1 1 1 1 -1 1 -1 1 -1 -1 -1
5,2,6.25,31610,1 1 1 -1 1
10,13,3.8461538461538463,200220,-1 1 -1 -1 1 1 -1 -1 -1 -1
15,15,7.5,201154,-1 1 -1 1 -1 -1 1 1 -1 -1 1 1 1 1 1
20,26,7.6923076923076925,200120,-1 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 1 -1 1 1 -1 -1
25,36,8.680555555555555,200100,-1 1 -1 -1 1 -1 -1 1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 1 1
30,67,6.7164179104477615,201087,1 -1 1 -1 1 -1 -1 -1 -1 1 1 1 1 1 1 -1 -1 1 1 1 -1 -1 1 1 -1 1 1 -1 1 1
35,93,6.586021505376344,203078,1 1 -1 1 1 1 1 1 -1 1 1 -1 1 1 -1 1 -1 1 -1 1 1 -1 -1 -1 -1 -1 1 1 1 -1 1 1 1 -1 -1
40,136,5.882352941176471,200070,-1 1 1 -1 1 -1 1 -1 -1 1 1 1 -1 -1 1 1 -1 -1 1 -1 1 1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 -1 1 1 1 1 1
45,174,5.818965517241379,202565,-1 -1 1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 -1 -1 1 -1 1 1 1 -1 1 -1 -1 -1 1 1 1 1 -1 1 -1 -1 1 -1 1 1 -1
50,201,6.218905472636816,200060,-1 1 -1 1 1 1 1 -1 1 -1 1 1 1 1 -1 -1 -1 1 1 1 1 1 -1 1 1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 1 -1 -1 1 1 -1 1 -1 1 1 -1 -1 1 -1
55,251,6.02589641434263,203557,-1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 -1 -1 1 1 1 -1 -1 1 -1 1 1 -1 -1 1 1 -1 1 1 -1 1 1 -1 1 -1 1 -1 1 -1 1 -1 1 1 -1 1
60,306,5.882352941176471,204054,1 -1 1 -1 1 -1 1 -1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 1 1 1 1 1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 1 -1 -1 1 1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1
65,400,5.28125,201551,-1 -1 -1 1 1 1 1 -1 -1 -1 -1 1 1 -1 1 -1 -1 1 -1 1 -1 1 1 -1 1 1 -1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 1 -1 1 1 -1 -1 1 1 -1 -1 -1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1
66,409,5.32518337408313,204651,-1 -1 -1 -1 -1 -1 -1 1 -1 1 1 1 -1 1 -1 -1 -1 1 -1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 -1 1 1 -1 1 1 1 -1 1 -1 1 1 1 1 -1 -1 -1 1 1 1 -1 -1 -1
70,479,5.11482254697286,203049,-1 1 1 1 -1 -1 1 -1 -1 -1 1 -1 -1 1 -1 1 1 1 1 -1 -1 -1 -1 1 -1 -1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 1 1 1 -1 -1 -1 1 -1 1 1 1 -1 1 -1 1 -1 1 -1 1 1 1 -1 -1
75,501,5.61377245508982,202547,1 -1 -1 1 1 1 -1 1 1 1 -1 1 -1 1 -1 1 1 1 -1 1 1 1 -1 -1 1 1 1 -1 -1 -1 -1 1 -1 -1 1 1 -1 1 -1 -1 1 -1 1 1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 1 1 1 -1 -1 1 -1 1 1 1 1 -1 1 -1 -1 -1 -1 -1 -1 1
80,616,5.194805194805195,200045,1 -1 1 -1 1 -1 1 -1 -1 1 1 -1 -1 -1 -1 -1 1 -1 1 -1 -1 1 1 -1 -1 1 -1 1 1 1 1 1 1 1 -1 -1 1 1 1 -1 1 1 1 1 1 -1 -1 -1 1 -1 -1 1 -1 1 1 1 1 1 1 -1 -1 1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 1 -1 1 -1 -1 1 1
82,625,5.3792,205045,1 -1 1 -1 -1 1 -1 -1 1 -1 -1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 1 1 -1 1 1 -1 1 1 1 -1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 1 1 1 -1 -1 -1 -1 -1 1 1 1 1 -1
5,2,6.25,31605,-1 1 -1 -1 -1
10,13,3.8461538461538463,200220,-1 1 1 -1 -1 -1 -1 1 -1 1
15,15,7.5,201154,-1 1 -1 1 -1 -1 1 1 -1 -1 1 1 1 1 1
20,26,7.6923076923076925,200120,1 -1 -1 1 1 1 -1 -1 1 -1 1 1 1 -1 1 -1 -1 -1 -1 -1
25,36,8.680555555555555,200100,-1 1 1 -1 -1 1 -1 -1 1 -1 1 -1 1 1 1 1 1 1 1 -1 -1 -1 1 1 1
30,75,6.0,201087,1 1 -1 -1 1 1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 1 -1 1 1 -1 1 -1 1 1 1
35,85,7.205882352941177,203078,-1 1 1 -1 -1 1 1 -1 -1 -1 1 -1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 1 -1
40,132,6.0606060606060606,200070,1 -1 -1 1 1 -1 -1 1 1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 -1 1 -1 -1 1 -1 1 -1 1 -1 1 -1
45,182,5.563186813186813,202565,1 1 1 -1 1 1 -1 -1 1 1 -1 -1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 -1 1 -1 1 1 -1 -1 -1 -1 -1 1 -1 1 1
50,209,5.980861244019139,200060,-1 1 -1 1 1 -1 1 -1 1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 -1 1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 1 1 -1 -1 1 -1 -1 1 1 -1 -1 1 1
55,275,5.5,203557,-1 1 1 -1 -1 1 -1 -1 1 -1 -1 1 -1 -1 -1 -1 1 -1 -1 1 1 1 -1 -1 1 1 1 1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 1 1 1 1 -1 1 -1 -1 -1 -1 1 -1 1 1 1 1
60,334,5.389221556886228,204054,-1 1 -1 1 -1 1 -1 -1 1 -1 1 -1 1 -1 -1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 -1 1 1 1 1 -1 -1 1 -1 1 1 -1 1 1 -1 1 1 -1 -1 -1 1 1 -1 -1 1 1
65,368,5.740489130434782,201551,1 -1 1 -1 1 1 1 -1 1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 1 1 1 1 -1 1 -1 1 1 -1 1 1 1 1 -1 -1 -1 1 1 1 -1 1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 -1 -1 -1 1 1 -1
66,377,5.777188328912467,204651,-1 1 1 -1 1 1 1 -1 -1 1 1 -1 1 1 1 1 -1 1 -1 -1 1 1 -1 1 -1 -1 1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 1 -1 1 -1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 1
70,455,5.384615384615385,203049,-1 1 1 -1 -1 1 -1 1 -1 -1 1 1 -1 1 1 -1 -1 1 1 -1 -1 -1 1 -1 1 -1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 -1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 -1 1 -1 1 -1 1 1 1 1 -1 -1
75,509,5.525540275049116,202547,1 -1 -1 -1 -1 1 -1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 -1 1 1 -1 -1 -1 1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 1 1 1 1 -1 1 1 1 -1 1 -1 -1 -1 1 -1 1 -1 1 -1 -1 -1 1 -1 -1 1 -1 -1 1 1 -1 1 1 -1 1
80,620,5.161290322580645,200045,1 -1 -1 -1 1 1 -1 1 -1 1 -1 1 1 -1 1 -1 1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 -1 1 -1 1 1 -1 -1 -1 -1 1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 1 1 1 1 -1 1 1 -1 -1 -1 -1
82,665,5.055639097744361,205045,1 -1 -1 -1 -1 -1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 -1 -1 1 1 -1 -1 1 1 1 1 1 1 -1 -1 -1 1 1 1 1 -1 -1 1 1 -1 -1 1 1 1 -1 1 -1 -1 -1 1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 -1 1 1 -1 1 1 -1 1 -1 1 -1 1 -1 -1 1 -1 -1 -1 -1 -1
5,2,6.25,31590,1 1 1 -1 1
10,13,3.8461538461538463,200220,1 1 1 1 -1 1 -1 -1 1 1
15,15,7.5,201154,-1 1 -1 1 -1 -1 1 1 -1 -1 1 1 1 1 1
20,26,7.6923076923076925,200120,-1 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 1 -1 1 1 -1 -1
25,36,8.680555555555555,200100,1 -1 -1 1 1 -1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1
30,67,6.7164179104477615,201087,-1 -1 -1 -1 -1 -1 1 -1 1 1 1 -1 -1 1 -1 1 1 1 -1 -1 1 1 -1 1 -1 1 1 -1 -1 1
35,73,8.39041095890411,203078,-1 1 1 -1 1 1 -1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 -1 1 1 -1 -1 -1 1 -1 1 -1 1 -1
40,136,5.882352941176471,200070,1 1 1 1 1 -1 1 -1 1 1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 1 1 1 -1 -1 -1 1 -1 -1 -1 1 1 -1 1 1 -1 -1 1 -1
45,178,5.688202247191011,202565,-1 1 1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 1 -1 -1 1 -1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 1 1 1 -1 -1 -1 1 1 1 -1 -1
50,209,5.980861244019139,200060,1 1 1 1 1 -1 -1 -1 1 1 1 1 1 -1 1 -1 1 -1 1 1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 1 1 -1 1 1 -1 1 1 -1 -1
55,271,5.581180811808118,203557,1 -1 1 1 -1 -1 1 -1 1 -1 -1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 -1 -1 1 -1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 1 1 1 1 1 1 1
60,322,5.590062111801243,204054,-1 1 1 1 -1 -1 1 -1 -1 1 1 1 1 -1 1 -1 1 -1 -1 1 1 -1 -1 -1 1 1 1 1 -1 -1 -1 1 -1 1 -1 1 1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 -1 -1 -1 1 1 1 1 1 1 1 1 1
65,368,5.740489130434782,201551,1 1 -1 1 1 -1 1 1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 1 1 -1 1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 -1 1 1 1 -1 1 -1 -1
66,409,5.32518337408313,204651,1 -1 1 -1 1 -1 1 -1 1 -1 -1 1 1 1 -1 1 -1 1 1 -1 -1 -1 -1 1 -1 -1 1 -1 -1 1 -1 1 1 -1 -1 -1 1 -1 -1 1 -1 -1 -1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 -1 -1 1 1 -1 -1 1
70,455,5.384615384615385,203049,1 1 -1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 1 -1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 1 1 1 -1 -1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 -1 -1 1 -1 -1 -1 1 -1
75,537,5.237430167597766,202547,1 1 -1 1 -1 1 1 -1 1 1 1 -1 1 1 -1 1 -1 1 1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 1 -1 1 -1 -1 -1 1 1 -1 -1 1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 1 1 1 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1
80,628,5.095541401273885,200045,-1 1 1 1 1 1 -1 -1 -1 -1 1 1 1 1 -1 -1 1 -1 1 1 -1 1 1 -1 1 1 -1 -1 1 -1 1 -1 1 -1 1 1 -1 1 1 -1 1 -1 1 1 1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 1 1 1 -1 1 1 -1 -1 1 1 -1 -1
82,625,5.3792,205045,-1 -1 -1 1 1 -1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 1 -1 -1 1 1 1 1 -1 -1 1 -1 1 1 -1 1 1 -1 1 -1 -1 1 1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 1 1 -1 1 -1 1 -1 1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1
5,2,6.25,31660,-1 1 -1 -1 -1
10,13,3.8461538461538463,200220,-1 -1 -1 1 -1 1 -1 -1 1 1
15,15,7.5,201154,-1 -1 -1 -1 -1 1 1 -1 -1 1 1 -1 1 -1 1
20,26,7.6923076923076925,200120,1 1 -1 -1 1 -1 -1 1 1 1 1 -1 1 1 1 1 -1 1 -1 1
25,36,8.680555555555555,200100,-1 1 -1 -1 1 -1 -1 1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 1 1
30,75,6.0,201087,1 1 -1 -1 1 -1 -1 1 1 -1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 1 1 1 -1 -1 -1 1
35,81,7.561728395061729,203078,-1 1 1 -1 -1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 1 1 -1 1 -1 -1 1 -1 1 -1 1 -1 1
40,136,5.882352941176471,200070,1 1 1 -1 1 1 -1 -1 1 1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 1 1 -1 1 -1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 1 1 1 -1 -1
45,170,5.955882352941177,202565,1 1 -1 -1 1 1 1 -1 -1 1 1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 -1 1 -1 1 1 1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1
50,225,5.555555555555555,200060,1 -1 1 -1 1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 1 -1 1 1 -1 1 -1 -1 -1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 1 1 1
55,279,5.421146953405018,203557,-1 -1 1 1 1 1 -1 -1 -1 1 1 1 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 -1 1 1 1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 1 -1 1 1 1 -1 1 -1 -1 1 -1
60,338,5.325443786982248,204054,-1 -1 1 -1 1 1 -1 1 1 -1 1 1 1 1 -1 1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 1 1 -1 1 -1 1 -1 -1 1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 1 1 1 1 1 -1 -1
65,360,5.868055555555555,201551,1 -1 1 -1 1 -1 1 1 -1 -1 1 -1 1 1 1 1 -1 1 1 1 -1 1 1 -1 -1 1 -1 1 1 -1 -1 1 1 1 1 -1 1 1 1 1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 -1 1 1 1 -1 -1 -1 -1 -1 1 1 1 1
66,377,5.777188328912467,204651,1 -1 -1 1 1 -1 -1 1 -1 1 1 -1 1 -1 -1 1 1 -1 -1 -1 1 1 -1 1 -1 -1 1 -1 -1 -1 1 1 1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1
70,431,5.684454756380511,203049,1 1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 1 -1 1 -1 -1 1 -1 1 1 1 -1 1 -1 1 -1 1 1 -1 1 1 -1 1 1 1 -1 1 1 -1 1 1 1 -1 -1 1 1 -1 -1 1 1 1 -1 -1 1 1
75,521,5.3982725527831095,202547,-1 -1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 1 -1 1 1 -1 1 1 -1 -1 1 -1 1 -1 1 1 1 -1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1 1 -1 1 1 1 1 1
80,608,5.2631578947368425,200045,-1 -1 1 1 1 1 1 1 1 -1 1 -1 -1 -1 -1 -1 1 -1 1 1 -1 1 1 -1 1 -1 1 1 1 -1 1 -1 1 1 1 -1 -1 1 -1 1 -1 -1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 1 -1 -1 1 -1 -1 -1 1 -1 -1 1 -1 1 1 1 -1 -1 1 -1 -1 1 1 1 -1 1
82,689,4.879535558780842,205045,-1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 -1 1 -1 1 -1 1 1 -1 -1 -1 1 1 -1 -1 1 1 -1 1 1 -1 -1 1 1 -1 1 1 1 1 1 1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 1 1 -1 -1 1 1 1 1 -1 1 -1 -1 -1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 1
